Full report path,Company,Year,status
Porsche Annual and Sustainability Report 2016 - Performance -.pdf,Porsche,2016,1
adidas_ser2007_online_en.pdf,Adidas,2007,1
adidas-online-review-2008_en.pdf,Adidas,2008,1
2009_adidas_sustainability_progress_report.pdf,Adidas,2009,1
2010_adidas_sustainability_progress_report.pdf,Adidas,2010,1
2011_adidas_sustainability_progress_report.pdf,Adidas,2011,1
2012_adidas_sustainability_progress_report.pdf,Adidas,2012,1
2013_adidas_sustainability_progress_report.pdf,Adidas,2013,1
2014_adidas_sustainability_progress_report.pdf,Adidas,2014,1
2015_adidas_sustainability_progress_report.pdf,Adidas,2015,1
2016_adidas_sustainability_progress_report.pdf,Adidas,2016,1
adidas_annual report 2018.pdf,Adidas,2018,1
adidas_annual report 2019.pdf,Adidas,2019,1
adidas_annual report 2020.pdf,Adidas,2020,1
adidas_annual report 2021.pdf,Adidas,2021,1
adidas_annual report 2022.pdf,Adidas,2022,1
Full -Report-Airbus-SE-Annual-Report-2020.pdf,Airbus,2020,1
Airbus Annual Report Overview 2021.pdf,Airbus,2021,1
Allianz_Group_Sustainability_Report_2017-web.pdf,Allianz_Group,2017,1
Allianz_Group_Sustainability_Report_2018-web.pdf,Allianz_Group,2018,1
Allianz_Group_Sustainability_Report_2019-web.pdf,Allianz_Group,2019,1
Allianz_Group_Sustainability_Report_2020-web.pdf,Allianz_Group,2020,1
Allianz_Group_Sustainability_Report_2021-web.pdf,Allianz_Group,2021,1
Allianz_Group_Sustainability_Report_2022-web.pdf,Allianz_Group,2022,1
Sustainable-Development-Report-2010.pdf,Bayer,2010,1
sustainable-development-report-2011.pdf,Bayer,2011,1
sustainable-development-report-2012.pdf,Bayer,2012,1
bayer-ag-Anual-report-2013.pdf,Bayer,2013,1
bayer-ag-Anual-report-2014.pdf,Bayer,2014,1
bayer-ag-Anual-report-2015.pdf,Bayer,2015,1
bayer-ag-Anual-report-2016.pdf,Bayer,2016,1
bayer-ag-Anual-report-2017.pdf,Bayer,2017,1
bayer-ag-Anual-report-2018.pdf,Bayer,2018,1
bayer-ag-sustainability-report-2019_5.pdf,Bayer,2019,1
Bayer-Sustainability-Report-2020.pdf,Bayer,2020,1
Bayer-Sustainability-Report-2021.pdf,Bayer,2021,1
Bayer-Sustainability-Report-2022.pdf,Bayer,2022,1
Beiersdorf-Sustainability-Review-2012.pdf,Beiersdorf,2012,1
Beiersdorf_SustainabilityReview_2013_14-3.pdf,Beiersdorf,2013,1
Sustainability_Review_2014-Beiersdorf.pdf,Beiersdorf,2014,1
Beiersdorf_Sustainability Review_2015.pdf,Beiersdorf,2015,1
BDF_Sustainability_Review_2016_EN.pdf,Beiersdorf,2016,1
20190731-Beiersdorf_Sustainability-Review-2017-EN.pdf,Beiersdorf,2017,1
Beiersdorf-Sustainability-Review-EN-2018.pdf,Beiersdorf,2018,1
Beiersdorf-Sustainability-Review-2019.pdf,Beiersdorf,2019,1
Beiersdorf-care-beyond-skin-creating-a-sustainable-tomorrow-2020-en.pdf,Beiersdorf,2020,1
Beiersdorf-sustainability-highlight-report-en-2021.pdf,Beiersdorf,2021,1
Beiersdorf-NFS-2022-en.pdf,Beiersdorf,2022,1
BMW_2017.PDF,BMW,2017,1
BMW_2018.pdf,BMW,2018,1
BMW_2019.pdf,BMW,2019,1
BMW_2020.pdf,BMW,2020,1
BMW_2021.pdf,BMW,2021,1
brenntagsustainability-report2015en.pdf,Brenntag,2015,1
brenntagsustainability-report2016en-2.pdf,Brenntag,2016,1
brenntagsustainability-report2017en.pdf,Brenntag,2017,1
brenntagsustainability-report2018en.pdf,Brenntag,2018,1
brenntagsustainability-report2019en.pdf,Brenntag,2019,1
brenntagsustainability-report2020en.pdf,Brenntag,2020,1
brenntag-sustainability-report-2021-en.pdf,Brenntag,2021,1
Commerzbank_NFR_2017.pdf,Commerzbank,2017,5
Commerzbank_NFR_2018.pdf,Commerzbank,2018,5
Commerzbank_NFR_2019.pdf,Commerzbank,2019,5
Commerzbank_NFR_2020.pdf,Commerzbank,2020,5
Commerzbank_NFR_2021.pdf,Commerzbank,2021,5
Continental Instegrated Sustainability report 2012.pdf,Continental,2012,1
Continental Instegrated Sustainability report 2013.pdf,Continental,2013,1
Continental Instegrated Sustainability report 2014.pdf,Continental,2014,1
Continental Instegrated Sustainability report 2015.pdf,Continental,2015,1
Continental Instegrated Sustainability report 2016.pdf,Continental,2016,1
Continental Instegrated Sustainability report 2017.pdf,Continental,2017,1
Continental Instegrated Sustainability report 2018.pdf,Continental,2018,1
Continental Instegrated Sustainability report 2019.pdf,Continental,2019,1
Continental Instegrated Sustainability report 2020.pdf,Continental,2020,1
220414_continental_nachhaltigkeitsbericht_2021-en-final_for_publication_01.pdf,Continental,2021,1
covestro-Anual Report 2018.pdf,Covestro,2018,1
covestro-Anual Report 2019.pdf,Covestro,2019,1
Sustainability - Covestro Annual Report 2020.pdf,Covestro,2020,1
Sustainability - Covestro Annual Report 2021.pdf,Covestro,2021,1
covestro-Anual Report 2022.pdf,Covestro,2022,1
daimler_truck-sustainability-report-2020.pdf,Daimler-truck,2020,1
daimler-truck-sustainability-report-2021.pdf,Daimler-truck,2021,1
daimler-truck-ir-annual-report-2022-incl-combined-management-report-dth-ag.pdf,Daimler-truck,2022,1
Deutche Borse Group CR report 2008.pdf,Deutch Borse Group,2008,1
Deutche Borse Group CR report 2009.pdf,Deutch Borse Group,2009,1
Deutche Borse Group CR report 2010.pdf,Deutch Borse Group,2010,1
Deutche Borse Group CR report 2011.pdf,Deutch Borse Group,2011,1
Deutche Borse Group Annual report 2015.pdf,Deutch Borse Group,2015,1
Deutche Borse Group Annual report 2016.pdf,Deutch Borse Group,2016,1
Deutche Borse Group Annual report 2017.pdf,Deutch Borse Group,2017,1
Deutche Borse Group Annual report 2018.pdf,Deutch Borse Group,2018,1
Deutche Borse Group Annual report 2019.pdf,Deutch Borse Group,2019,1
Deutche Borse Group Annual report 2020.pdf,Deutch Borse Group,2020,1
Deutche Borse Group Annual report 2021.pdf,Deutch Borse Group,2021,1
Deutche Borse Group Annual report 2022.pdf,Deutch Borse Group,2022,1
deutsche-bank-cr-report-2010.pdf,Deutche Bank,2010,1
deutsche-bank-cr-report-2011.pdf,Deutche Bank,2011,1
deutsche-bank-cr-report-2012.pdf,Deutche Bank,2012,1
deutsche-bank-cr-report-2013.PDF,Deutche Bank,2013,1
deutsche-bank-cr-report-2014.pdf,Deutche Bank,2014,1
deutsche-bank-cr-report-2015.pdf,Deutche Bank,2015,1
deutsche-bank-cr-report-2016.pdf,Deutche Bank,2016,1
