text,page_number
"No matter how far we have come with our 
sustainability efforts over the years, we know 
that we can always improve. And we know that 
in order to tackle the big challenges we are 
better off when working together.
",2
"For this reason, we are calling all creators, our 
own employees, our partners and consumers 
as well as suppliers to be a part of this important 
journey. We strive to give them the space their 
ideas and creative force need to improve our 
companys sustainable efforts. 
",2
"Whether we talk about the empowerment of 
workers in our supply chain or assistance for 
our suppliers to improve their environmental 
performance, further developing our chemical 
management, minimising waste and inspiring 
our own people to make a positive impact on the 
world  guided by our core belief that through
sport, we have the power to change lives, we are
a team of thousands that keeps pushing the limits 
further than ever before.
",2
"With this report, we present some of the faces 
behind our efforts. 
",2
"CEO STATEMENT 
04
OUR SUSTAINABILITY 
STRATEGY 
06
",3
"2020 TARGETS & AMBITIONS 
06
 
STRATEGIC UPDATES 
09
HOW WE OPERATIONALISE OUR STRATEGY: MONITORING  
PROGRESS OF SPORT NEEDS A SPACE 
09
HOW WE LEARN FROM OUR PARTNERS: THOUGHT  
LEADERSHIP IN PROTECTING HUMAN RIGHTS 
10
HOW WE MONITOR OUR FOOTPRINT WHILE MAXIMISING  
THE VALUE OF OUR BUSINESS 
11
PRODUCT 
13
",3
"WE VALUE WATER 
14
IDENTIFY, EDUCATE, ACT: TEAMING UP TO SAVE WATER  
WHERE NECESSARY 
16
LEADING BY EXAMPLE: ON OUR WAY TO ACHIEVE  
WATER STEWARDSHIP 
18
JOINING TRUSTED PARTNERS TO HELP THOSE IN NEED 
18
2020 TARGET EVALUATION 
19
 
WE INNOVATE MATERIALS & PROCESSES 
21
REDEFINING THE INDUSTRY, ONE PRODUCT AT A TIME 
23
CHALLENGE MEANS PROGRESS: IMPROVING  
OUR CHEMICAL FOOTPRINT 
25
GUIDING OUR SUPPLIERS TOWARDS MINIMISING WASTE 
25
2020 TARGET EVALUATION 
26
 
WE CONSERVE ENERGY 
30
IT STARTS WITH US: SYSTEMATICALLY CONSERVING  
ENERGY AT OUR OWN SITES 
32
ON TRACK: EVOLUTION AND CREATION OF EKPI 2.0 
34
2020 TARGET EVALUATION 
35
",3
"WE EMPOWER PEOPLE 
38
IT STARTS WITH LISTENING: HOW WE EMPOWER  
WORKERS IN OUR SUPPLY CHAIN 
40
BALANCED, INCLUSIVE, GENDER INTELLIGENT:  
CHALLENGING COMMON THOUGHTS 
42
2020 TARGET EVALUATION 
43
 
WE IMPROVE HEALTH 
46
REACHING OUT TO THE KIDS: HOW WE ACCELERATE  
FOOTBALL DEVELOPMENT IN CHINA 
48
WHEN PHYSICAL FITNESS IS JUST THE BEGINNING:  
HOW WE FUEL OUR EMPLOYEES HEALTH 
50
2020 TARGET EVALUATION 
51
 
WE INSPIRE ACTION 
53
TAKING ON CHALLENGES OF OUR TIMES:  
HOW WE TAILOR ACTIONS TO NEEDS 
55
FIGHTING OCEAN DESTRUCTION: WHY IT NEEDS CREATORS 
57
2020 TARGET EVALUATION 
58
 
PERFORMANCE  
DATA 
60
",3
"Our long-term business strategy Creating the New is 
based on the core belief that, through sport, we have 
the power to change lives. And we do this every day as 
a company: by empowering people to live an active life, 
by teaching life skills through sport and by creating 
sustainable products. Our core belief becomes 
particularly relevant when we talk about the impact 
we have with our sustainability work. We are one of 
the very few companies that integrate sustainability 
into their business model, which is most visible in the 
fact that we take sustainability to the product level. 
Two examples are our products made of Parley Ocean 
Plastic and the ever-increasing amount of Better 
Cotton used in our products. Our UltraBOOST Uncaged 
Parley was the best-selling shoe in our newly opened 
store on 5th Avenue in New York upon its launch. Also 
in 2016, we exceeded our target to source 60% Better 
Cotton by 8 percentage points, which puts us in a good 
position to source 100% of our cotton as sustainable 
cotton by the end of 2018. But we do not stop there. We 
do not only see sustainability as an opportunity to get 
a competitive advantage. We see it as an obligation for 
us as a global company to do business in a responsible 
and sustainable way.
",4
"WE SEE IT AS AN  
 
OBLIGATION FOR  
 
US AS A GLOBAL  
COMPANY TO DO  
BUSINESS IN A  
RESPONSIBLE AND  
SUSTAINABLE WAY.
",4
