,text,Company,year,Label,sim_score,Formness_score
114225,"Ensure a high level of employee satisfaction Employees are highl 
 y committed due to their high level of satisfaction.",MTU Aero Engines,2021,S1,0.811919122,0.097367853
14307,"ANTI-CORRUPTION / ANTI-FRAUD Preventing bribery, corruption and  
 fraud through global policies and monitoring.",Allianz_Group,2018,G1,0.844832145,0.099005051
50526,"diStRibutEd lEdGER A public ledger, allowing transactions to be  
 recorded and verified on a peer-to-peer basis. The blockchain is 
  the distributed ledger for transactions in bitcoin, a digital c 
 urrency. Applications for transactions involv- ing other objects 
  are being developed.",Deutch Borse Group,2016,G1,0.729595049,0.09922757
132244,"Human Rights and Labor Standards ............................... 
 ................................................................ 
  129",SAP,2021,S1,0.799983598,0.091662638
130726,"Materiality .................................................... 
 ................................................................ 
 ................................................................ 
 ................................ 218",SAP,2020,E1,0.771919114,0.064365022
20400,"Risk Management System 214 20.3.2 Opportunities and Risks 217 21 
 . Takeover-Relevant Information 224",Bayer,2013,E1,0.781429487,0.064557746
83051,"EN5 Energy Conservation (Add)  Group-wide data is not available; 
  individual examples are provided.  Environmental Protection  Cl 
 imate Protection  Technology Development  Climate-friendly Produ 
 cts and Services  Regional Activities",E.ON,2013,E1,0.826035151,0.063158385
51155,"BrainTrade Gesellschaft fr Brsensysteme mbH Frankfurt/Main, Germ 
 any Xetra (cash equities) (28.58)  2013",Deutch Borse Group,2018,G1,0.735007157,0.049524255
33520,"Development	of	methods	to	quan- tify	the	emission	reductions	fro 
 m	 already	implemented	measures	in	 the area of ingredients and  
 packa- ging.",Beiersdorf,2018,E1,0.789920923,0.05102434
133094,"Consolidated Statements of Financial Position of SAP Group ..... 
 ................................................... 167 (A.4) Cu 
 stomer-Related Provisions....................................... 
 ..................................................... 182",SAP,2021,E1,0.768378012,0.08792337
89355,"The staff turnover rate as at 31 December 2018 was 4.1%. Stage c 
 ompleted in 2018 Achievement by 2020 realistic 2018: Completion  
 of the implementation round launched in 2017 and planning of the 
  new implementation round for 2019/2020.",Hanover,2018,S1,0.777703384,0.101201691
83995,"In 2014 E.ON Connecting Energies (ECT) significantly expanded ou 
 r service offerings to industrial and The trend toward distribut 
 ed generation is growing and irreversible. Consequently, distrib 
 uted-energy",E.ON,2014,E1,0.775323393,0.156129852
78554,"Valuable contributions to Group-wide ideas management With our G 
 roup-wide Idea Generation Management we encour- age our employee 
 s to send us their suggestions and ideas for con- tinued improve 
 ment at Deutsche Telekom. Due to the coronavirus pandemic, fewer 
  employees took part in 2020 than in the previous year: Particip 
 ation was lower, at 4,574 submissions, but the quality of the id 
 eas was higher. The economic benefit amounted to 69.2 million eu 
 ros in the form of savings or new business potential.",Deutche telekom,2020,S1,0.766270528,0.162014857
21929,"2017 I n the rst stage, 80%  of the identi ed sites were inspect 
 ed to determine whether water management is in place, and if so, 
  in what form.",Bayer,2014,E3,0.799934317,0.128838629
58263,"Reproduction in full or in part only with the publishers prior w 
 ritten approval; photos and copy to be credited to Deutsche Bank 
  AG.",Deutche Bank,2019,G1,0.731171568,0.129497498
